,physical_error_rate,lattice_size,rounds,logical_error_rate,time,type
0,0.02,5,10.0,0.0567,0.09197258303174749,global
1,0.02,5,10.0,0.0567,0.09197258303174749,parallel
2,0.02,5,33.888888888888886,0.1389,0.89439895801479,global
3,0.02,5,33.888888888888886,0.1393,0.89439895801479,parallel
4,0.02,5,57.77777777777778,0.2071,2.46454116597306,global
5,0.02,5,57.77777777777778,0.2086,2.46454116597306,parallel
6,0.02,5,81.66666666666667,0.2567,3.426653750007972,global
7,0.02,5,81.66666666666667,0.2577,3.426653750007972,parallel
8,0.02,5,105.55555555555556,0.3081,5.050906290998682,global
9,0.02,5,105.55555555555556,0.3097,5.050906290998682,parallel
10,0.02,5,129.44444444444446,0.3558,6.449746292026248,global
11,0.02,5,129.44444444444446,0.3572,6.449746292026248,parallel
12,0.02,5,153.33333333333334,0.3785,7.5888230000273325,global
13,0.02,5,153.33333333333334,0.3786,7.5888230000273325,parallel
14,0.02,5,177.22222222222223,0.4014,9.316511957964394,global
15,0.02,5,177.22222222222223,0.403,9.316511957964394,parallel
16,0.02,5,201.11111111111111,0.4255,10.572957875032444,global
17,0.02,5,201.11111111111111,0.4272,10.572957875032444,parallel
18,0.02,5,225.0,0.4417,11.818111583008431,global
19,0.02,5,225.0,0.4402,11.818111583008431,parallel
20,0.02,7,10.0,0.0286,0.18829533300595358,global
21,0.02,7,10.0,0.0286,0.18829533300595358,parallel
22,0.02,7,33.888888888888886,0.0752,1.3747032919782214,global
23,0.02,7,33.888888888888886,0.0756,1.3747032919782214,parallel
24,0.02,7,57.77777777777778,0.1178,3.6791617919807322,global
25,0.02,7,57.77777777777778,0.1191,3.6791617919807322,parallel
26,0.02,7,81.66666666666667,0.1517,6.349739291006699,global
27,0.02,7,81.66666666666667,0.1532,6.349739291006699,parallel
28,0.02,7,105.55555555555556,0.1964,8.968455708003603,global
29,0.02,7,105.55555555555556,0.1975,8.968455708003603,parallel
30,0.02,7,129.44444444444446,0.2185,9.93778029200621,global
31,0.02,7,129.44444444444446,0.2203,9.93778029200621,parallel
32,0.02,7,153.33333333333334,0.2567,12.234637167013716,global
33,0.02,7,153.33333333333334,0.2598,12.234637167013716,parallel
34,0.02,7,177.22222222222223,0.2728,14.64394529198762,global
35,0.02,7,177.22222222222223,0.2745,14.64394529198762,parallel
36,0.02,7,201.11111111111111,0.304,16.065095499972813,global
37,0.02,7,201.11111111111111,0.3072,16.065095499972813,parallel
38,0.02,7,225.0,0.3234,18.60591870796634,global
39,0.02,7,225.0,0.3257,18.60591870796634,parallel
40,0.02,9,10.0,0.0163,0.33266895898850635,global
41,0.02,9,10.0,0.0163,0.33266895898850635,parallel
42,0.02,9,33.888888888888886,0.0403,2.7265563330147415,global
43,0.02,9,33.888888888888886,0.0406,2.7265563330147415,parallel
44,0.02,9,57.77777777777778,0.0649,5.603048499964643,global
45,0.02,9,57.77777777777778,0.0657,5.603048499964643,parallel
46,0.02,9,81.66666666666667,0.0915,10.314403583004605,global
47,0.02,9,81.66666666666667,0.0941,10.314403583004605,parallel
48,0.02,9,105.55555555555556,0.112,12.80457637499785,global
49,0.02,9,105.55555555555556,0.1133,12.80457637499785,parallel
50,0.02,9,129.44444444444446,0.1329,15.769912042014766,global
51,0.02,9,129.44444444444446,0.1333,15.769912042014766,parallel
52,0.02,9,153.33333333333334,0.1447,20.14430920901941,global
53,0.02,9,153.33333333333334,0.1482,20.14430920901941,parallel
