,physical_error_rate,lattice_size,rounds,logical_error_rate,time,type
0,0.02,5,10.0,0.05664,0.42749879095936194,global
1,0.02,5,10.0,0.05664,0.42749879095936194,parallel
2,0.02,5,33.888888888888886,0.13902,4.76923233299749,global
3,0.02,5,33.888888888888886,0.13954,4.76923233299749,parallel
4,0.02,5,57.77777777777778,0.2081,13.22398124996107,global
5,0.02,5,57.77777777777778,0.2088,13.22398124996107,parallel
6,0.02,5,81.66666666666667,0.2663,20.903287958994042,global
7,0.02,5,81.66666666666667,0.26714,20.903287958994042,parallel
8,0.02,5,105.55555555555556,0.3107,31.963340417016298,global
9,0.02,5,105.55555555555556,0.31188,31.963340417016298,parallel
10,0.02,5,129.44444444444446,0.35194,39.44775983301224,global
11,0.02,5,129.44444444444446,0.35336,39.44775983301224,parallel
12,0.02,5,153.33333333333334,0.37904,47.23439654201502,global
13,0.02,5,153.33333333333334,0.38008,47.23439654201502,parallel
14,0.02,5,177.22222222222223,0.39942,50.43499650002923,global
15,0.02,5,177.22222222222223,0.40104,50.43499650002923,parallel
16,0.02,5,201.11111111111111,0.41586,64.5122454999946,global
17,0.02,5,201.11111111111111,0.41706,64.5122454999946,parallel
18,0.02,5,225.0,0.43816,73.1115419169655,global
19,0.02,5,225.0,0.43948,73.1115419169655,parallel
20,0.02,7,10.0,0.03186,0.9439394579967484,global
21,0.02,7,10.0,0.03186,0.9439394579967484,parallel
22,0.02,7,33.888888888888886,0.07786,6.992427499964833,global
23,0.02,7,33.888888888888886,0.07796,6.992427499964833,parallel
24,0.02,7,57.77777777777778,0.11756,19.670136041997466,global
25,0.02,7,57.77777777777778,0.1188,19.670136041997466,parallel
26,0.02,7,81.66666666666667,0.1565,36.40888562501641,global
27,0.02,7,81.66666666666667,0.15826,36.40888562501641,parallel
28,0.02,7,105.55555555555556,0.19172,51.78293595899595,global
29,0.02,7,105.55555555555556,0.19324,51.78293595899595,parallel
30,0.02,7,129.44444444444446,0.22516,58.739122041966766,global
31,0.02,7,129.44444444444446,0.22728,58.739122041966766,parallel
32,0.02,7,153.33333333333334,0.25224,74.94486870901892,global
33,0.02,7,153.33333333333334,0.2536,74.94486870901892,parallel
34,0.02,7,177.22222222222223,0.27562,89.79313554201508,global
35,0.02,7,177.22222222222223,0.27874,89.79313554201508,parallel
36,0.02,7,201.11111111111111,0.29894,97.71785150002688,global
37,0.02,7,201.11111111111111,0.30132,97.71785150002688,parallel
38,0.02,7,225.0,0.32038,113.65714858303545,global
39,0.02,7,225.0,0.324,113.65714858303545,parallel
40,0.02,9,10.0,0.01724,1.650697500037495,global
41,0.02,9,10.0,0.01724,1.650697500037495,parallel
42,0.02,9,33.888888888888886,0.04178,13.72586558398325,global
43,0.02,9,33.888888888888886,0.04188,13.72586558398325,parallel
44,0.02,9,57.77777777777778,0.06662,27.80341412499547,global
45,0.02,9,57.77777777777778,0.06746,27.80341412499547,parallel
46,0.02,9,81.66666666666667,0.09012,59.609755749988835,global
47,0.02,9,81.66666666666667,0.09194,59.609755749988835,parallel
48,0.02,9,105.55555555555556,0.113,70.80011941597331,global
49,0.02,9,105.55555555555556,0.11508,70.80011941597331,parallel
50,0.02,9,129.44444444444446,0.13392,79.43721875001211,global
51,0.02,9,129.44444444444446,0.13632,79.43721875001211,parallel
52,0.02,9,153.33333333333334,0.15298,102.19782449997729,global
53,0.02,9,153.33333333333334,0.15592,102.19782449997729,parallel
54,0.02,9,177.22222222222223,0.17512,117.01129683299223,global
55,0.02,9,177.22222222222223,0.17788,117.01129683299223,parallel
56,0.02,9,201.11111111111111,0.18864,130.94815279199975,global
57,0.02,9,201.11111111111111,0.19222,130.94815279199975,parallel
58,0.02,9,225.0,0.20268,156.02680849999888,global
59,0.02,9,225.0,0.2061,156.02680849999888,parallel
60,0.02,11,10.0,0.00918,2.570773500017822,global
61,0.02,11,10.0,0.00918,2.570773500017822,parallel
62,0.02,11,33.888888888888886,0.02282,23.363017582974862,global
63,0.02,11,33.888888888888886,0.02294,23.363017582974862,parallel
64,0.02,11,57.77777777777778,0.03544,46.671653958037496,global
65,0.02,11,57.77777777777778,0.03582,46.671653958037496,parallel
66,0.02,11,81.66666666666667,0.0505,69.806597833056,global
67,0.02,11,81.66666666666667,0.05118,69.806597833056,parallel
68,0.02,11,105.55555555555556,0.06376,93.7121012499556,global
69,0.02,11,105.55555555555556,0.06508,93.7121012499556,parallel
70,0.02,11,129.44444444444446,0.07556,117.20729033299722,global
71,0.02,11,129.44444444444446,0.07754,117.20729033299722,parallel
72,0.02,11,153.33333333333334,0.08642,140.7346662079799,global
73,0.02,11,153.33333333333334,0.08838,140.7346662079799,parallel
74,0.02,11,177.22222222222223,0.1007,165.3260274589993,global
75,0.02,11,177.22222222222223,0.10288,165.3260274589993,parallel
76,0.02,11,201.11111111111111,0.1101,190.37906324997311,global
77,0.02,11,201.11111111111111,0.1125,190.37906324997311,parallel
78,0.02,11,225.0,0.12424,213.57092933298554,global
79,0.02,11,225.0,0.12692,213.57092933298554,parallel
80,0.02,13,10.0,0.00502,3.733909291040618,global
81,0.02,13,10.0,0.00502,3.733909291040618,parallel
82,0.02,13,33.888888888888886,0.01232,13.90660366701195,global
83,0.02,13,33.888888888888886,0.01232,13.90660366701195,parallel
84,0.02,13,57.77777777777778,0.0204,48.76270962500712,global
85,0.02,13,57.77777777777778,0.02046,48.76270962500712,parallel
86,0.02,13,81.66666666666667,0.02838,84.59780408401275,global
87,0.02,13,81.66666666666667,0.0286,84.59780408401275,parallel
88,0.02,13,105.55555555555556,0.03614,120.6974320000154,global
89,0.02,13,105.55555555555556,0.03672,120.6974320000154,parallel
90,0.02,13,129.44444444444446,0.04174,190.69756341696484,global
91,0.02,13,129.44444444444446,0.04256,190.69756341696484,parallel
92,0.02,13,153.33333333333334,0.04892,192.66155758296372,global
93,0.02,13,153.33333333333334,0.05064,192.66155758296372,parallel
94,0.02,13,177.22222222222223,0.0555,236.2974042079877,global
95,0.02,13,177.22222222222223,0.05694,236.2974042079877,parallel
96,0.02,13,201.11111111111111,0.0636,271.7230132499826,global
97,0.02,13,201.11111111111111,0.06576,271.7230132499826,parallel
98,0.02,13,225.0,0.0703,315.53550904098665,global
99,0.02,13,225.0,0.0726,315.53550904098665,parallel
100,0.02,15,10.0,0.00288,5.1944234580150805,global
101,0.02,15,10.0,0.00288,5.1944234580150805,parallel
102,0.02,15,33.888888888888886,0.00762,19.309776209003758,global
103,0.02,15,33.888888888888886,0.00762,19.309776209003758,parallel
104,0.02,15,57.77777777777778,0.0114,70.57554091699421,global
105,0.02,15,57.77777777777778,0.01144,70.57554091699421,parallel
106,0.02,15,81.66666666666667,0.01496,124.90955320798093,global
107,0.02,15,81.66666666666667,0.01538,124.90955320798093,parallel
108,0.02,15,105.55555555555556,0.01952,174.68124216602882,global
109,0.02,15,105.55555555555556,0.01988,174.68124216602882,parallel
110,0.02,15,129.44444444444446,0.023,191.26587970904075,global
111,0.02,15,129.44444444444446,0.02358,191.26587970904075,parallel
112,0.02,15,153.33333333333334,0.02838,246.4006138750119,global
113,0.02,15,153.33333333333334,0.02894,246.4006138750119,parallel
114,0.02,15,177.22222222222223,0.03258,312.08581445895834,global
115,0.02,15,177.22222222222223,0.03346,312.08581445895834,parallel
116,0.02,15,201.11111111111111,0.03606,363.0895656660432,global
117,0.02,15,201.11111111111111,0.03708,363.0895656660432,parallel
118,0.02,15,225.0,0.03956,417.14037000003736,global
119,0.02,15,225.0,0.04086,417.14037000003736,parallel
120,0.02,17,10.0,0.00174,6.736745041038375,global
121,0.02,17,10.0,0.00174,6.736745041038375,parallel
122,0.02,17,33.888888888888886,0.00402,24.913220041024033,global
123,0.02,17,33.888888888888886,0.00402,24.913220041024033,parallel
124,0.02,17,57.77777777777778,0.00614,100.16915470798267,global
125,0.02,17,57.77777777777778,0.00624,100.16915470798267,parallel
126,0.02,17,81.66666666666667,0.00872,117.47677154099802,global
127,0.02,17,81.66666666666667,0.00876,117.47677154099802,parallel
128,0.02,17,105.55555555555556,0.01146,189.56666741601657,global
129,0.02,17,105.55555555555556,0.01162,189.56666741601657,parallel
130,0.02,17,129.44444444444446,0.01392,266.3508027080097,global
131,0.02,17,129.44444444444446,0.01442,266.3508027080097,parallel
132,0.02,17,153.33333333333334,0.0145,357.5025123330415,global
133,0.02,17,153.33333333333334,0.01486,357.5025123330415,parallel
134,0.02,17,177.22222222222223,0.01784,378.71112220798386,global
135,0.02,17,177.22222222222223,0.01848,378.71112220798386,parallel
136,0.02,17,201.11111111111111,0.0204,473.254429832974,global
137,0.02,17,201.11111111111111,0.02122,473.254429832974,parallel
138,0.02,17,225.0,0.02252,671.4805889169802,global
139,0.02,17,225.0,0.02318,671.4805889169802,parallel
